"key","message","comment","context"
"Do you really want to delete the selected task?","Вы уверены, что хотите удалить выбранную задачу ?",,
"Do you really want to unarchive the selected record(s)?","Вы уверены, что хотите разархивировать выбранные записи(записи)?",,
"Do you really want to unarchive the selected record?","Вы уверены, что хотите разархивировать выбранную запись ?",,
"Do you really want to update all {0} record(s)?","Вы уверены, что хотите обновить эти {0} записи(записи) ?",,
"Document","Документ",,
"Documentation","Документация",,
"Domain","Домен",,
"Download","Скачать",,
"Downloading file…","Скачать файл…",,
"Downloading {0}…","Загрузка {0}…",,
"Drop here","Брось здесь",,
"Drop your files to start upload.","Удалите свои файлы, чтобы начать загрузку.",,
"Duplicate","Копировать",,
"Edit","редактировать",,
"Either select or create a record.","выберите или создайте запись.",,
"Email","Эмаль",,
"Environment","Среда",,
"Error","Ошибка",,
"Expand All","Развивать все",,
"Export","Экспортировать",,
"Export full","все экспортировать",,
"Failed",,,
"False","Ложный Сбой",,
"Favorite","Фаворит",,
"Field name","Имя поля",,
"Field type","Тип поля",,
"File","Файл",,
"File does not exist.","Файл не существует.",,
"File upload","Загружать файлы",,
"File {0} does not exist.","Файл {0} не существует.",,
"Filter","Фильтр",,
"Filters","Фильтры",,
"Filters ({0})","Фильтры ({0})",,
"Fixed line","Стационарная",,
"Fixed line or mobile","линия стационарная или мобильная линия",,
"Folder","Папка",,
"Followers","Подписчики",,
"Font","Шрифт",,
"Font color","Цвет шрифта",,
"Font size","Размер шрифта",,
"Formatted","Форматированный",,
"Free Memory",,,
"Go","Запуск свободной памяти",,
"Grid requires at least one field.","Список должен содержать хотя бы одно поле.",,
"Group by","Группировать по группам",,
"Grouped",,,
"Groups","Группы",,
"Header 1","Название уровня 1",,
"Header 2","Название уровня 2",,
"Header 3","Название уровня 3",,
"Header 4","Название уровня 4",,
"Header 5","Название уровня 5",,
"Header 6","Название уровня 6",,
"Hide","Скрыть",,
"Hide legend","Скрыть подпись",,
"Hide password","Скрыть пароль",,
"Home page","Домашняя страница",,
"Indent","Увеличить вывод средств",,
"Information","Информация",,
"Insert image","вставить изображение",,
"Insert link","Вставить ссылку",,
"Insert.Key","вставить",,
"Internal Server Error","Внутренняя ошибка сервера",,
"Invalid use of ""{0}"" action, must be the last action.","Неправильное использование действия "" {0}"", должно быть последним действием. ",,
"Italic (Ctrl+I)","Курсив (Ctrl+I)",,
"Java Runtime","Среда Выполнения Java",,
"Java Version","Версия Java",,
"Justify","Оправдать",,
"Keyboard Shortcuts",,,
"Language","языковые сочетания клавиш",,
"Large","Большой",,
"Larger","Самое большое",,
"Last access time","время последнего доступа",,
"Last modified...","Последнее изменение...",,
"License","Лицензия",,
"Light","Ясный",,
"Load more","Загрузить еще",,
"Loading...","Загрузка...",,
"Log in","Подключиться",,
"Log in time","время подключения",,
"Log in with {0}","Подключиться с помощью {0}",,
"Log out","Отключение",,
"Mark as important","Отметить как важное",,
"Mark as not important","Пометить как неважный",,
"Mark as read","Отметить как прочитанное",,
"Mark as unread","отметить как непрочитанное",,
"Mass Update","массовое обновление",,
"Max","Максимальная",,
"Max Memory",,,
"Medium","средняя максимальная память",,
"Memory",,,
"Messages","Сообщения Памяти",,
"Min",,,
"Mobile","Мобильный Минимум",,
"Model...","Модель...",,
"Modified","Измененный",,
"Month","Месяц",,
"Months","Месяц",,
"More","Больше",,
"More details...","Подробнее ...",,
"Move to archive","архивировать",,
"Move to inbox","Переместить в поле приема",,
"My Filters","Мои фильтры",,
"Name","имя",,
"New","новый",,
"New Document","новый документ",,
"New Folder","Новая папка",,
"New Spreadsheet","новая электронная таблица",,
"New password","Новый пароль",,
"New password must be different.","Новый пароль должен быть другим.",,
"No",,,
"No filters available","Нет доступных фильтров",,
"No records found.","Данных не найдено.",,
"No results found","Результатов не найдено",,
"None","Ни один",,
"Normal","Нормальный",,
"Normalize","Нормализовать",,
"Notifications","Уведомления",,
"Now","Теперь",,
"OK","ОК",,
"Object","объект",,
"Open URL","Открыть URL",,
"Operating System","Операционная",,
"Opps!","система Opps!",,
"Ordered list","Пронумерованный список",,
"Organize favorites...","Упорядочить избранное…",,
"Orig. value","Исходное значение.",,
"Outdent","Уменьшить вывод",,
"Owner","Владелец",,
"Page not found","Страница не найдена",,
"Page size limited to {0} records","Размер страницы ограничен {0} записями",,
"PageDown.Key","Pg. follow",,
"PageUp.Key","Pg. prec",,
"Pager","Пейджер",,
"Password","Пароль",,
"Passwords do not match.","Пароли не совпадают.",,
"Pending","Ожидающий",,
"Permissions {0}","Разрешения {0}",,
"Permissions...","Позволяем...",,
"Personal number","Личный номер",,
"Please select at least one record.","Пожалуйста, выберите хотя бы одну запись.",,
"Please wait...","Спасибо, что проявили терпение...",,
"Post","Отправить",,
"Preferences","Настройки",,
"Premium rate","Приплата",,
"Quarter","Квартал",,
"Quarters","Кварталы",,
"Question","Вопрос",,
"Recipients","Получатели",,
"Reconnecting…","Переподключение…",,
"Reference","Ссылка",,
"Refresh","Обновить",,
"Reload","Заряжать",,
"Remember me","Вспоминая меня",,
"Remove","Удалить",,
"Remove format","Удалить формат",,
"Rename...","Переименовать...",,
"Report attached to current object. Would you like to download?","Отчет, прикрепленный к текущему объекту. Вы хотите его скачать?",,
"Reset","Сбросить",,
"Retry","Повторите попытку",,
"Save","Сохранить",,
"Save as","Сохранить как",,
"Save column widths","Сохранить ширину столбцов",,
"Save filter as","Сохранить фильтр как",,
"Search","Искать",,
"Search Objects","Выбрать объект",,
"Search menu...","Найдите меню...",,
"Search more...","больше результатов...",,
"Search...","Искать...",,
"Select","Выделить",,
"Send","Отправить",,
"Share","Разделять",,
"Shared cost","Общие расходы",,
"Shortcuts","Сокращаю",,
"Show","Отображать",,
"Show archived","Показать архивы",,
"Show legend","Показать подпись",,
"Show password","Показать пароль",,
"Showing all items.","Отображаются все элементы.",,
"Showing {0} of {1} items.","Отображаются {0} элементы в {1}.",,
"Small","Меньше",,
"Smaller","Небольшой",,
"Some files can't be downloaded. Please check them and retry.","Некоторые файлы не могут быть загружены. Пожалуйста, проверьте их и попробуйте еще раз.",,
"Sorry, something went wrong. Please try again later.","Извините, произошла ошибка. Пожалуйста, повторите попытку позже. ",,
"Sort Ascending","сортировка по возрастанию",,
"Sort Descending","Сортировка по убыванию",,
"Spreadsheet","рабочего листа",,
"Stacked","Штабелированный",,
"Strikethrough (Ctrl+S)","Зачеркнуто (Ctrl+S)",,
"Style","Стиль",,
"Subject","Тема",,
"Sum","Сомма",,
"System Information","Информационная система",,
"Tasks due","Задача выполнена",,
"Tasks todo","Предстоящая задача",,
"Tenant",,,
"The record has been updated or deleted by another action.","Запись была изменена или удалена другим действием.",,
"There are no records to update.","Там нет записей, которые нужно обновить.",,
"Title","Заголовок",,
"Today","Сегодня",,
"Toggle","Уменьшить",,
"Toll free","Бесплатно",,
"Total Memory","Общая память",,
"Translate","Перевести",,
"Translation","Перевод",,
"True","Истинный",,
"Type","Типизированный",,
"UAN","UAN",,
"Unarchive","разархивировать",,
"Underline (Ctrl+U)","Подчеркивание (Ctrl+U)",,
"Unexpected error occurred","Произошла непредвиденная ошибка",,
"Ungroup","Разгруппировать",,
"Unknown","Неизвестный",,
"Unordered list","маркированный список",,
"Update","Пополнять",,
"Update all","Обновить все",,
"Updated By",,,
"Updated On","Обновлено Обновлено",,
"Upload","загрузить его",,
"Upload complete","Загрузка завершена",,
"Uploading files...","Загрузка файлов...",,
"Used Memory","Используемая память",,
"User","Пользователь",,
"Username","Имя пользователя",,
"Validate","подтвердить",,
"Value","значение",,
"Version","Версия",,
"View",,,
"View...","Вид С Высоты Птичьего Полета...",,
"VoIP","VoIP",,
"Voicemail","Голосовая почта",,
"Warning","Предупреждение",,
"Week","Неделя",,
"Weeks","Недели",,
"Would you like to reload the current record?","Вы хотите обновить текущую запись ?",,
"Would you like to reload the record?","Вы хотите обновить запись ?",,
"Would you like to remove the filter?","Вы хотите удалить фильтр ?",,
"Write an email","Написать электронное письмо",,
"Write your comment here","Введите свой комментарий",,
"Wrong current username or password","Неправильное текущее",,
"Wrong username or password","имя пользователя или пароль неправильное имя пользователя или пароль",,
"Year","Год",,
"Years","Годы",,
"Yes","Да",,
"You are not allowed to upload a file bigger than {0} MB.",", вам не разрешено отправлять файл размером более {0} Мб.",,
"and","и",,
"close the current view tab","закрытие вкладки текущего представления",,
"contains","содержит",,
"create new record","создать новую запись",,
"delete current/selected record(s)","удалить текущую запись или выбранные записи",,
"doesn't contain","не содержит",,
"duplicate current record","скопировать текущую запись",,
"edit selected record","изменить выбранную запись",,
"equals","равной",,
"focus first or selected item in view","перейти к первому элементу или элементу, выбранному в представлении",,
"focus left menu search box","перейти к строке поиска в левом меню",,
"greater or equal","больше или равно",,
"greater than","больше, чем",,
"in","в",,
"in range","пределах входит",,
"in the current","в текущую",,
"in the next","в следующих",,
"in the past","в последних",,
"is current group","текущая группа",,
"is current user","является текущим пользователем",,
"is empty","пусто",,
"is false","ложно",,
"is not empty","не пусто",,
"is not null","не равно нулю",,
"is null","значение null",,
"is true","истинно",,
"items","элементы",,
"less or equal","меньше или равно",,
"less than","меньше для",,
"load more","загрузки плюс",,
"navigate to next page/record","перейти на следующую страницу или следующую запись",,
"navigate to previous page/record","перейти на предыдущую страницу или предыдущую запись",,
"no messages","нет сообщения",,
"no tasks","нет задачи",,
"not equal","не равно",,
"not in","нет в",,
"not in range","не входит в диапазон",,
"or","или",,
"refresh current view","обновляет текущее представление",,
"replies ({0} of {1})","ответы ({0} на {1})",,
"save current record","сохранить текущую запись",,
"search for records","поиск записей",,
"toggle left menu","переключить левое меню",,
"{0} is editing since {1}","{0} начал редактировать {1}",,
"{0} is invalid","{0} недопустимо",,
"{0} is not in proper format","{0} находится в неправильном формате",,
"{0} is required","Требуется {0} ",,
"{0} is too big","{0} слишком велик",,
"{0} is too small","{0} слишком мал",,
"{0} joined {1}","{0} присоединился к {1}",,
"{0} left {1}","{0} ушел(Е) {1}",,
"{0} messages","{0} сообщения",,
"{0} of {1}","{0} из {1}",,
"{0} records exported.","{0} экспортированные записи.",,
"{0} saved {1}","{0} зарегистрировано {1}",,
"{0} tasks","{0} задачи",,
"{0} to {1} of {2}","{От 0} до {1} из {2}",,
