"key","message","comment","context"
"Details","Детализация",,
"Directories","Каталоги",,
"Directory","Каталог",,
"Disable the user from the specified date.","блокирует пользователя с указанной даты.",,
"Document","Документ",,
"Documents","Документы",,
"Domain","Домен",,
"Domain filter as condition.","условие применения доступа",,
"Download","Загрузить",,
"Email","Эмаль",,
"Encryption error","Ошибка шифрования",,
"Encryption key might be wrong.","Ключ шифрования может быть неправильным.",,
"English","Англичанин",,
"Enum","Перечисление",,
"Enum type","Тип перечисления",,
"Expires on","Разрешить до",,
"Export","Экспорт",,
"Export complete.","Полный экспорт.",,
"Extension","Расширение",,
"Favorite","Фаворит",,
"Favorites","Бакенбарды",,
"Field","Поле",,
"Field is required.","Требуемое поле.",,
"Fields","Поля",,
"File","Файл",,
"File added","Добавленный файл",,
"File name","Имя файла",,
"File path","Путь к файлу",,
"File removed","Удаленный файл",,
"File type","Типизированный",,
"Files","Файлы",,
"Filter custom","Пользовательский фильтр",,
"Filter files","Фильтровать файлы",,
"Filter view","Фильтр просмотра",,
"Filters","фильтры",,
"Flags","Флаги",,
"Force password change","Принудительно сменить пароль",,
"Force the user to change their password at next login.","Заставить пользователя сменить пароль при следующем входе в систему.",,
"Form","Бланк",,
"Form record","Регистрация формы",,
"Form records","Записи формы",,
"Form view","Вид формы",,
"Form width","Ширина формы",,
"French","Француз",,
"From","Полное",,
"Fullname","имя",,
"Fully qualified object name or wild card package name.","Общее имя объекта",,
"Gantt","Ганта",,
"General",,,
"Green","Зелень",,
"Grey","Серое",,
"Grid","Список",,
"Grid view","Просмотр списка",,
"Group","Группа",,
"Group by","группировать по",,
"Groups","группа",,
"Help","Справка",,
"Help Management","управление справкой",,
"Help link","Ссылка на справку",,
"Hidden","Скрытый",,
"Hidden menu","Скрытое меню",,
"Hide if","Спрятанный так",,
"High","высоко",,
"Home action","Приветственное действие",,
"Icon","Иконка",,
"Icon background","Значок фона",,
"Important","Важный",,
"In Progress","Текущий",,
"Inbox","Входящие",,
"Inbox is empty!","Почтовый ящик пуст !",,
"Include if","Включить, если",,
"Increment","приращение",,
"Indigo","Индиго",,
"Information","Информация",,
"Initial value","Исходное значение",,
"Inline","В ряд",,
"Integer","Целое число",,
"Invalid XML.","Недопустимый XML.",,
"Invalid cron :","Недопустимый Cron :",,
"Invalid field value.","Недопустимое значение.",,
"Invalid permission","Недопустимое разрешение",,
"Invalid use of action-record: %s, must be the last action.","""Неправильное использование действия-запись: %s, должно быть последним действием"".",,
"Inverse","обратный",,
"Is archived","Находится в архиве",,
"Is directory","Является каталогом",,
"Is read","Читается",,
"Is starred","Это любимые",,
"Items","элементы",,
"Job","Работа",,
"Job Management","по управлению планировщиками",,
"Job has been updated.","Планировщик был обновлен.",,
"Json","Json",,
"Json model","Шаблон JSON",,
"Kanban","Kanban",,
"Key","Ключевой",,
"Label",,,
"Language","Язык Этикетки",,
"Last modified","Измененный",,
"Last password update date","Дата последнего изменения пароля",,
"Left menu","Меню слева",,
"Light Blue","Голубой",,
"Light Green","Светло-зеленый",,
"Lime","Лимонно-зеленый",,
"Link","Ссылка",,
"Login","Для Входа",,
"Low","Нижняя",,
"Mail","Почта",,
"ManyToMany","У многих томания",,
"ManyToOne","Очень много",,
"Mapped by","Сопоставленный с",,
"Max","Максимальный",,
"Max size",,,
"Max size 4MB.","размер максимальный размер 4 МБ.",,
"Members","Члены",,
"Menu","Меню",,
"Menu Help","Справка по меню",,
"Menu Item","Пункт Меню",,
"Menu Items","Пункты Меню",,
"Menu background","Фон меню",,
"Menu icon","Значок меню",,
"Menu order","Порядок следования меню",,
"Menu parent","Родительский элемент меню",,
"Menu title","Название меню",,
"Menus","меню",,
"Message","Сообщение",,
"Meta file","Мета-файл",,
"Meta model","Модель",,
"Meta permission","Мета-разрешение",,
"MetaScheduleParam","Меташедулепарам",,
"Min","Минимальный",,
"Min size","размер минимальное",,
"Mobile menu","мобильное меню",,
"Model","объект",,
"Model Management","управление шаблонами",,
"Model field","Поле шаблона",,
"Models","модель",,
"Modified","Измененный",,
"Module","Модуль",,
"Module Management","Управление модулями",,
"Module to check","Модуль для проверки",,
"Modules","модуль",,
"My Documents","Мои файлы",,
"My Teams","Мои команды",,
"My open tasks","Мои открытые задачи",,
"Name","имя",,
"Name field","Поле имени",,
"Name length should be greater than 2.","Длина имени должна быть больше 2",,
"Navigation","Навигация",,
"New","новый",,
"New password","новый пароль",,
"New password does not match pattern.","Новый пароль не соответствует шаблону.",,
"New password must be different.","Новый пароль должен быть другим.",,
"New password of the user","Новый пароль пользователя",,
"Next value","Следующее значение",,
"No archived messages!","Нет заархивированных сообщений",,
"No help","Никакой помощи",,
"No important messages!","Нет важных сообщений",,
"Normal","Нормальный",,
"Not allowed","Самовольный",,
"Object","Объект",,
"Object name","Имя объекта",,
"On change","К переменам",,
"On click","По щелчку",,
"On new","К созданию",,
"On save","При регистрации",,
"OneToMany","Онетомания",,
"OneToOne","Онетун",,
"Only if","Только если",,
"Only use this menu-item if the given expression is true (ie `if` condition).","Использовать этот элемент меню только в том случае, если заданное выражение истинно (например, условие 'if')",,
"Only use this menu-item if the given module is installed (ie `if-module` condition).","Использовать этот элемент меню только в том случае, если модуль установлен (например, условие ""если-модуль"")",,
"Options","Параметры",,
"Orange","Оранжевый",,
"Order by","Сортировать по",,
"Overview","общему",,
"Owner","Владелец",,
"Package","Имя пакета",,
"Padding","Заполнение",,
"Panel","Панель",,
"Params",,,
"Parent","Родительские Настройки",,
"Parent menu","Родительское меню",,
"Password","Пароль",,
"Password doesn't match configured pattern.","Пароль не соответствует настроенному шаблону.",,
"Password of the new user","Пароль нового пользователя",,
"Permission","Разрешение",,
"Permissions","разрешение",,
"Permissions (fields)","Разрешения (поля)",,
"Personal","Персонал",,
"Personalized View","Пользовательский вид",,
"Personalized Views","Пользовательские представления",,
"Photo","Фотография",,
"Pink","Розовый",,
"Placeholder","Заменяющая отметка",,
"Please refresh your browser to see updated views.","пожалуйста, обновите свой браузер, чтобы отображать обновления.",,
"Precision","Точность",,
"Preferences","Преференции",,
"Prefix",,,
"Priority","Приоритет Префикса",,
"Purple","Фиолетовый",,
"Read","Чтение",,
"Readonly","Только для чтения",,
"Readonly if","Только для чтения, если",,
"Recipients","получатели",,
"Record created","Созданная запись",,
"Record updated","Измененная запись",,
"Record was updated or deleted by another transaction.","Запись была обновлена или удалена другой транзакцией.",,
"Red","Красное море",,
"Reference error","Ошибка ссылки",,
"Regex","Регулярное выражение",,
"Related","Сопряженный",,
"Related document id","Идентификатор связанного документа",,
"Related document model","Модель связанного документа",,
"Related document name","Имя связанного документа связанный",,
"Related model","шаблон",,
"Related name","Связанное имя Связанный",,
"Related object","объект",,
"Relationship","отношение",,
"Remove","Удалить",,
"Replies","Ответы",,
"Required","Требуемый",,
"Required if","Требуется, если",,
"Restart jobs","перезагрузить",,
"Restore all…","компьютер, восстановить все…",,
"Role","Роль",,
"Roles","Корневые Роли",,
"Root",,,
"Rule","Правило",,
"Rules","Правила",,
"SQL error","Ошибка",,
"Scale","масштаба SQL",,
"Schedule","Планировщик",,
"Schedules","Планировщики",,
"Schema","Определение",,
"Search","Поиска",,
"Select","Выбрать",,
"Select Item","элемент из выделения",,
"Selection","Выбор",,
"Selects","выбор",,
"Separator","Разделитель",,
"Sequence","Последовательность",,
"Sequence order","Порядок отображения",,
"Server expression to check whether to use this field.","Серверное выражение для использования этого поля или",,
"Shared","неразделенное ?",,
"Shared with me","Поделились со мной",,
"Show Model","Посмотреть модель",,
"Show if","Показать, если",,
"Show permissions","просмотреть разрешения",,
"Single tab","Отдельная вкладка",,
"Size","Размер",,
"Size in bytes","Размер в байтах",,
"Spacer","Пространство",,
"Specify whether the members of this group are technical staff.","Укажите, являются ли члены этой группы техническими пользователями.",,
"Specify whether this action can be used as home action.","Указывает, можно ли использовать это действие в качестве действия по умолчанию.",,
"Status","Статус",,
"Stop service","Остановить службу",,
"String","символьной строки",,
"Style","Стиль",,
"Subject","Тема",,
"Subscribe","Подписаться",,
"Success","успешно",,
"Suffix","Суффикс",,
"Summary","Резюме",,
"System notification","Система уведомлений",,
"Table","Таблица",,
"Tag",,,
"Tag count","Счетчик Тегов",,
"Tag label","Формулировка тега",,
"Tag method","Метод расчета",,
"Tag style","Стиль тега",,
"Tags","Граффити",,
"Target custom model","Целевой пользовательский шаблон",,
"Target json model","Целевая модель Json",,
"Target model","Целевая модель",,
"Task","Задача",,
"Task closed","Задача закрыта",,
"Task created","Созданная задача",,
"Task date","Дата задания",,
"Task deadline","Крайний срок выполнения задания",,
"Task duration","Продолжительность задачи",,
"Tasks","Предстоящие задачи",,
"Tasks assigned to me","Мои назначенные задачи",,
"Tasks created by me","Мои отправленные задания",,
"Tasks due","Невыполненные задачи",,
"Tasks todo","Предстоящие задачи",,
"Teal","Голубая утка",,
"Team","Команда",,
"Teams","Команды",,
"Teamwork","Командная работа",,
"Technical staff","Технические данные",,
"The addition data for UI widgets","Дополнительные данные, используемые интерфейсом",,
"The color to use for tags","Какой цвет использовать для тегов",,
"The image icon to show in UI widgets","Значок, используемый интерфейсом",,
"The record(s) are referenced by other records. Please remove all the references first.","Запись связана с другими записями. Пожалуйста, сначала удалите все ссылки.",,
"The record(s) can't be updated as it violates unique constraint.","Запись не может быть обновлена, поскольку она нарушает ограничение уникальности.",,
"The scheduler service has been stopped.","Служба планирования остановлена.",,
"The scheduler service is disabled.","Служба планировщика отключена.",,
"The select item title","Название отбора",,
"The select item value","Значение выбора",,
"Theme","Тема",,
"This may terminate any running jobs. Are you sure you want to continue?","Это остановит запущенные экземпляры. Вы хотите продолжить ?",,
"This will update job with current settings. Are you sure you want to continue?","Это обновит экземпляр с текущими настройками. Вы хотите продолжить ?",,
"Time","Час",,
"Title","Заголовок",,
"Tooltip","Всплывающая подсказка",,
"Topic","Тема",,
"Topic closed","Тема закрыта",,
"Topic created","Созданная тема",,
"Topic re-opened","Тема вновь открыта",,
"Topics","Тематика",,
"Translation","Перевод",,
"Tree","Дерево",,
"Type","Типизированный",,
"Unexpected database error occurred on the server.","На сервере произошла ошибка базы данных.",,
"Unique constraint violation","Нарушение единственного ограничения",,
"Unique message identifier","Уникальный идентификатор сообщения",,
"Unread","Непрочитанные",,
"Unsubscribe","Отказаться от подписки",,
"Update","обновить",,
"Updated by","Обновлено",,
"Updated on","Обновлено",,
"Urgent","срочно",,
"Used as home action","Может использоваться как действие приветствия",,
"User","Пользователь",,
"User Management","управление пользователями",,
"User preferences","Преференции",,
"Users","пользователь",,
"Valid cron. Next execution dates are:","Действительный Cron. Следующие даты исполнения :",,
"Validate","Проверить",,
"Validation error","ошибку проверки",,
"Value","Значение",,
"Value Expression","Выражение значения",,
"Version","Версия",,
"View","Представление",,
"View Attribute","атрибута представления",,
"View Attributes","Атрибуты представления",,
"View Help","Справка по представлениям",,
"View Management","управление представлениями",,
"View customization","Настройка представлений",,
"View customization permission","Разрешение на настройку представлений",,
"Views","вид",,
"Visibility","Видимость",,
"Visible","Видный",,
"Visible in grid","Отображается в списке",,
"Warning","Внимание",,
"Whether to grant create access.","Разрешает доступ при создании",,
"Whether to grant export access.","Разрешает экспорт",,
"Whether to grant read access.","Разрешает доступ для чтения",,
"Whether to grant remove access.","Разрешает доступ при удалении",,
"Whether to grant write access.","Разрешает доступ при редактировании",,
"Whether to show help messages.","Просмотр справочных сообщений",,
"Whether to use tabbed ui.","Просмотр без вкладок",,
"White","Белый",,
"Widget","Виджет",,
"Widget Attributes","Атрибуты виджета",,
"Widget attrs","Виджет Attrs",,
"Write","Изменение",,
"Wrong current password","неправильного текущего пароля",,
"Wrong username or password","неправильное имя пользователя или пароль",,
"Xml",,,
"Yellow","Желтый Xml",,
"You are not allowed to customize views.","Вам не разрешено настраивать представления.",,
"You are not allowed to execute this action.","Вам не разрешено выполнять это действие.",,
"You are not allowed to remove this filter","Вам не разрешено удалять этот фильтр.",,
"You are not allowed to share custom views.","Вам не разрешено делиться пользовательскими представлениями.",,
"You are not authorized to create this resource.","У вас нет прав на создание этого ресурса.",,
"You are not authorized to export the data.","Вам не разрешено экспортировать этот ресурс.",,
"You are not authorized to read this resource.","Вам не разрешено читать этот ресурс.",,
"You are not authorized to remove this resource.","Вы не имеете права удалять этот ресурс.",,
"You are not authorized to update this resource.","Вы не имеете права изменять этот ресурс.",,
"You can't create document here.","Вы не можете создать здесь документ.",,
"You can't move document here.","Вы не можете переместить документ сюда.",,
"Your current password","Ваш текущий пароль",,
"action-attrs","action-attrs",,
"action-condition","action-condition",,
"action-export","action-export",,
"action-group","action-group",,
"action-import","action-import",,
"action-method","action-method",,
"action-record","action-record",,
"action-report","action-report",,
"action-script","action-script",,
"action-validate","action-validate",,
"action-view","action-view",,
"action-ws","action-ws",,
"added comment","добавлен комментарий ws",,
"aop.meta.order","Порядок",,
"confirm new password","подтвердить новый пароль",,
"confirm password","подтвердить пароль",,
"current password","текущий пароль",,
"form::Select","Выбор",,
"login name","логина",,
"new password","новый пароль",,
"password","пароль",,
"updated document","изменил документ",,
"user group","группа",,
"user name","логин",,
"user.password.pattern-title","Пожалуйста  используйте не менее 4 символов.","",
"your current password","ваш текущий пароль",,
"{0} customized view is deleted.","{0} пользовательский вид удален",,
"{0} customized views are deleted.","{0} пользовательские представления удалены",,
